"Subject" "Item" "Word" "WordItem" "CorrectIncorrect" "Condition" "Speaker" "Environment" "PresentationOrder" "Gender" "Age" "PaidUnpaid" "Term" "PPVTPercentile" "RhythmPercentAcc" "StroopRTdifference" "WARRMAudWordSpan" "PPVTScale" "RhythmScale" "StroopScale" "WARRMScale" "Environment.Contrasts" "QuietNoise" "EnergeticInfo"
"25" "P06" 7 "spoke" "7spoke" 1 "NNEner" "NN" "Ener" 6 "Female" 23 "Paid" "Summer" 94 0.692307692 36.27 3.33 1.3372567884727 0.0367969039410568 -1.47204552354274 -0.759699811877647 "Ener" 0.25 -0.5
"26" "P06" 7 "behind" "7behind" 1 "NNEner" "NN" "Ener" 6 "Female" 23 "Paid" "Summer" 94 0.692307692 36.27 3.33 1.3372567884727 0.0367969039410568 -1.47204552354274 -0.759699811877647 "Ener" 0.25 -0.5
"27" "P06" 7 "her" "7her" 0 "NNEner" "NN" "Ener" 6 "Female" 23 "Paid" "Summer" 94 0.692307692 36.27 3.33 1.3372567884727 0.0367969039410568 -1.47204552354274 -0.759699811877647 "Ener" 0.25 -0.5
"28" "P06" 7 "sin" "7sin" 0 "NNEner" "NN" "Ener" 6 "Female" 23 "Paid" "Summer" 94 0.692307692 36.27 3.33 1.3372567884727 0.0367969039410568 -1.47204552354274 -0.759699811877647 "Ener" 0.25 -0.5
"29" "P06" 8 "appear" "8appear" 1 "NaInfo" "Na" "Info" 21 "Female" 23 "Paid" "Summer" 94 0.692307692 36.27 3.33 1.3372567884727 0.0367969039410568 -1.47204552354274 -0.759699811877647 "Info" 0.25 0.5
"30" "P06" 8 "to" "8to" 1 "NaInfo" "Na" "Info" 21 "Female" 23 "Paid" "Summer" 94 0.692307692 36.27 3.33 1.3372567884727 0.0367969039410568 -1.47204552354274 -0.759699811877647 "Info" 0.25 0.5
"31" "P06" 8 "wait" "8wait" 0 "NaInfo" "Na" "Info" 21 "Female" 23 "Paid" "Summer" 94 0.692307692 36.27 3.33 1.3372567884727 0.0367969039410568 -1.47204552354274 -0.759699811877647 "Info" 0.25 0.5
"32" "P06" 8 "then" "8then" 0 "NaInfo" "Na" "Info" 21 "Female" 23 "Paid" "Summer" 94 0.692307692 36.27 3.33 1.3372567884727 0.0367969039410568 -1.47204552354274 -0.759699811877647 "Info" 0.25 0.5
"33" "P06" 8 "turn" "8turn" 0 "NaInfo" "Na" "Info" 21 "Female" 23 "Paid" "Summer" 94 0.692307692 36.27 3.33 1.3372567884727 0.0367969039410568 -1.47204552354274 -0.759699811877647 "Info" 0.25 0.5
"34" "P06" 9 "assume" "9assume" 1 "NaInfo" "Na" "Info" 36 "Female" 23 "Paid" "Summer" 94 0.692307692 36.27 3.33 1.3372567884727 0.0367969039410568 -1.47204552354274 -0.759699811877647 "Info" 0.25 0.5
